nbreheures1904;date utc;heure utc;date locale;heure locale;tsl;t;err t;td;err td;hr;err hr;vv;err vv;vd;err vd;psta;err psta;rf1e;err rf1e
h utc;date utc;heure loc;date loc;heure;HAE/HNE;C;Err;C;Err;0-100;Err;km/h;Err;0-360;Err;hPa;Err;kJ/m2/h;Err
981798;01/01/2016;6;01/01/2016;1;HNE;-7.8;0;-9.5;0;88.0;0;11.0;0;300;0;990;0;0;8
981799;01/01/2016;7;01/01/2016;2;HNE;-8.3;0;-10.1;0;87.0;0;9.0;0;290;0;990;0;0;8
981800;01/01/2016;8;01/01/2016;3;HNE;-8.9;0;-10.4;0;89.0;0;9.0;0;280;0;991;0;0;8
981801;01/01/2016;9;01/01/2016;4;HNE;-9.9;0;-11.9;0;85.0;0;0.0;0;0;0;990;0;0;8
981802;01/01/2016;10;01/01/2016;5;HNE;-9.9;0;-11.9;0;85.0;0;4.0;0;290;0;990;0;0;8
981803;01/01/2016;11;01/01/2016;6;HNE;-9.9;0;-11.9;0;85.0;0;0.0;0;0;0;990;0;0;8
981804;01/01/2016;12;01/01/2016;7;HNE;-10.8;0;-12.8;0;85.0;0;0.0;0;0;0;989;0;0;8
981805;01/01/2016;13;01/01/2016;8;HNE;-14.8;0;-18.7;0;72.0;0;0.0;0;0;0;989;0;0;5.k=1.JONQUIERE
981806;01/01/2016;14;01/01/2016;9;HNE;-13.3;0;-15.9;0;81.0;0;4.0;0;180;0;989;0;35.5625;5.k=1.JONQUIERE
981807;01/01/2016;15;01/01/2016;10;HNE;-10.2;0;-13.1;0;79.0;0;0.0;0;0;0;988;0;119.625;5.k=1.JONQUIERE
981808;01/01/2016;16;01/01/2016;11;HNE;-9.2;0;-11.5;0;83.0;0;4.0;0;90;0;987;0;194.688;5.k=1.JONQUIERE
981809;01/01/2016;17;01/01/2016;12;HNE;-8.6;0;-10.8;0;84.0;0;4.0;0;90;0;986;0;261.75;5.k=1.JONQUIERE
981810;01/01/2016;18;01/01/2016;13;HNE;-7.5;0;-10.3;0;80.0;0;4.0;0;90;0;985;0;419.812;5.k=1.JONQUIERE
981811;01/01/2016;19;01/01/2016;14;HNE;-7.1;0;-9.4;0;84.0;0;0.0;0;0;0;985;0;290.875;5.k=1.JONQUIERE
981812;01/01/2016;20;01/01/2016;15;HNE;-6.9;0;-9.2;0;84.0;0;4.0;0;110;0;985;0;78.9375;5.k=1.JONQUIERE
981813;01/01/2016;21;01/01/2016;16;HNE;-7.2;0;-8.8;0;88.0;0;5.0;0;90;0;985;0;0;5.k=1.JONQUIERE
981814;01/01/2016;22;01/01/2016;17;HNE;-6.9;0;-8.1;0;91.0;0;5.0;0;260;0;984;0;0;8
981815;01/01/2016;23;01/01/2016;18;HNE;-4.2;0;-5.3;0;92.0;0;17.0;0;260;0;984;0;0;8
981816;02/01/2016;0;01/01/2016;19;HNE;-3.5;0;-6.1;0;82.0;0;21.0;0;260;0;984;0;0;8
981817;02/01/2016;1;01/01/2016;20;HNE;-3.5;0;-6.1;0;82.0;0;18.0;0;260;0;984;0;0;8
981818;02/01/2016;2;01/01/2016;21;HNE;-3.5;0;-6.1;0;82.0;0;22.0;0;260;0;984;0;0;8
981819;02/01/2016;3;01/01/2016;22;HNE;-4.2;0;-6.0;0;87.0;0;21.0;0;270;0;984;0;0;8
981820;02/01/2016;4;01/01/2016;23;HNE;-4.2;0;-6.0;0;87.0;0;22.0;0;280;0;984;0;0;8
981821;02/01/2016;5;02/01/2016;0;HNE;-4.9;0;-6.8;0;87.0;0;13.0;0;270;0;984;0;0;8
981822;02/01/2016;6;02/01/2016;1;HNE;-4.6;0;-7.4;0;81.0;0;13.0;0;280;0;984;0;0;8
981823;02/01/2016;7;02/01/2016;2;HNE;-4.6;0;-7.4;0;81.0;0;8.0;0;270;0;984;0;0;8
981824;02/01/2016;8;02/01/2016;3;HNE;-4.8;0;-7.2;0;83.0;0;13.0;0;300;0;984;0;0;8
981825;02/01/2016;9;02/01/2016;4;HNE;-4.9;0;-7.1;0;85.0;0;9.0;0;270;0;983;0;0;8
981826;02/01/2016;10;02/01/2016;5;HNE;-5.3;0;-7.9;0;82.0;0;22.0;0;270;0;983;0;0;8
981827;02/01/2016;11;02/01/2016;6;HNE;-5.3;0;-7.3;0;86.0;0;18.0;0;280;0;983;0;0;8
981828;02/01/2016;12;02/01/2016;7;HNE;-5.3;0;-7.3;0;86.0;0;17.0;0;280;0;983;0;0;8
981829;02/01/2016;13;02/01/2016;8;HNE;-5.3;0;-6.6;0;91.0;0;13.0;0;270;0;983;0;0;5.k=1.JONQUIERE
981830;02/01/2016;14;02/01/2016;9;HNE;-4.6;0;-7.4;0;81.0;0;18.0;0;270;0;983;0;37.125;5.k=1.JONQUIERE
981831;02/01/2016;15;02/01/2016;10;HNE;-3.9;0;-7.9;0;74.0;0;28.0;0;270;0;983;0;207.25;5.k=1.JONQUIERE
981832;02/01/2016;16;02/01/2016;11;HNE;-4.0;0;-6.8;0;82.0;0;24.0;0;290;0;983;0;242.375;5.k=1.JONQUIERE
981833;02/01/2016;17;02/01/2016;12;HNE;-4.2;0;-5.3;0;92.0;0;17.0;0;300;0;982;0;363.5;5.k=1.JONQUIERE
981834;02/01/2016;18;02/01/2016;13;HNE;-3.5;0;-5.4;0;87.0;0;15.0;0;290;0;982;0;424.625;5.k=1.JONQUIERE
981835;02/01/2016;19;02/01/2016;14;HNE;-3.0;0;-5.8;0;81.0;0;15.0;0;280;0;982;0;459.75;5.k=1.JONQUIERE
981836;02/01/2016;20;02/01/2016;15;HNE;-2.9;0;-6.3;0;77.0;0;21.0;0;310;0;982;0;116.875;5.k=1.JONQUIERE
981837;02/01/2016;21;02/01/2016;16;HNE;-4.3;0;-6.1;0;87.0;0;11.0;0;320;0;983;0;0;5.k=1.JONQUIERE
981838;02/01/2016;22;02/01/2016;17;HNE;-4.5;0;-6.6;0;85.0;0;11.0;0;280;0;983;0;0;8
981839;02/01/2016;23;02/01/2016;18;HNE;-4.9;0;-6.1;0;91.0;0;8.0;0;260;0;984;0;0;8
981840;03/01/2016;0;02/01/2016;19;HNE;-5.3;0;-6.6;0;91.0;0;9.0;0;270;0;984;0;0;8
