"period_start_local","location_consumption","nb_location_id"
"2022-01-01T00:00:00Z","10917558.293221926","4256"
"2022-01-01T01:00:00Z","10604892.311429627","4255"
"2022-01-01T02:00:00Z","10354276.326634198","4255"
"2022-01-01T03:00:00Z","10385459.022877023","4252"
"2022-01-01T04:00:00Z","10776989.831084657","4255"
"2022-01-01T05:00:00Z","12077815.033848386","4256"
"2022-01-01T06:00:00Z","14173214.758412298","4256"
"2022-01-01T07:00:00Z","15545157.979938641","4258"
"2022-01-01T08:00:00Z","15615169.96787235","4258"
"2022-01-01T09:00:00Z","15654210.373461638","4260"
"2022-01-01T10:00:00Z","15817979.634894043","4260"
"2022-01-01T11:00:00Z","16014371.585784059","4256"
"2022-01-01T12:00:00Z","16100239.254223997","4257"
"2022-01-01T13:00:00Z","15869906.957475549","4257"
"2022-01-01T14:00:00Z","15375613.793342169","4261"
"2022-01-01T15:00:00Z","15690817.645920932","4264"
"2022-01-01T16:00:00Z","16281082.075531496","4261"
"2022-01-01T17:00:00Z","17015499.38761716","4258"
"2022-01-01T18:00:00Z","16602008.296518721","4258"
"2022-01-01T19:00:00Z","16003399.487321278","4262"
"2022-01-01T20:00:00Z","14983170.231506318","4262"
"2022-01-01T21:00:00Z","14109355.904902425","4264"
"2022-01-01T22:00:00Z","12651976.409901377","4264"
"2022-01-01T23:00:00Z","11200396.743476098","4264"
"2022-01-02T00:00:00Z","10621338.99693851","4266"
"2022-01-02T01:00:00Z","10523465.060116014","4262"
"2022-01-02T02:00:00Z","11016045.340100877","4260"
"2022-01-02T03:00:00Z","11456169.28108952","4260"
"2022-01-02T04:00:00Z","12294363.871651832","4260"
"2022-01-02T05:00:00Z","14013203.700022198","4262"
"2022-01-02T06:00:00Z","16643473.942664819","4262"
"2022-01-02T07:00:00Z","18515008.370804861","4261"
"2022-01-02T08:00:00Z","19292455.659199256","4262"
"2022-01-02T09:00:00Z","19800870.813803982","4260"
"2022-01-02T10:00:00Z","19943147.491512079","4258"
"2022-01-02T11:00:00Z","19872358.086074717","4261"
"2022-01-02T12:00:00Z","19750647.135533694","4261"
"2022-01-02T13:00:00Z","19227996.011113267","4258"
"2022-01-02T14:00:00Z","19014047.247920889","4260"
"2022-01-02T15:00:00Z","19577175.423256375","4260"
"2022-01-02T16:00:00Z","20848196.474900573","4265"
"2022-01-02T17:00:00Z","21964967.515392344","4264"
"2022-01-02T18:00:00Z","21772465.238299329","4262"
"2022-01-02T19:00:00Z","21158924.092535157","4265"
"2022-01-02T20:00:00Z","20456394.528147437","4264"
"2022-01-02T21:00:00Z","19381023.495104566","4274"
"2022-01-02T22:00:00Z","17548375.409763996","4273"
"2022-01-02T23:00:00Z","16055088.116546726","4271"
"2022-01-03T00:00:00Z","15987764.544372916","4271"
"2022-01-03T01:00:00Z","16617695.707315473","4269"
"2022-01-03T02:00:00Z","17518615.015369665","4269"
"2022-01-03T03:00:00Z","18659757.681213602","4269"
"2022-01-03T04:00:00Z","30779464.929854482","4270"
"2022-01-03T05:00:00Z","29022371.739600308","4265"
"2022-01-03T06:00:00Z","17378052.848358281","4268"
"2022-01-03T07:00:00Z","13198713.721054468","4265"
"2022-01-03T08:00:00Z","14438156.715112705","4271"
"2022-01-03T09:00:00Z","16256110.740869083","4273"
"2022-01-03T10:00:00Z","27128729.081787657","4282"
"2022-01-03T11:00:00Z","23540495.701570351","4280"
"2022-01-03T12:00:00Z","21849814.322893485","4280"
"2022-01-03T13:00:00Z","20813811.332544662","4280"
"2022-01-03T14:00:00Z","20573935.598001719","4283"
"2022-01-03T15:00:00Z","31587696.676556159","4284"
"2022-01-03T16:00:00Z","30613676.087516457","4284"
"2022-01-03T17:00:00Z","18113763.317246351","4288"
"2022-01-03T18:00:00Z","14793560.779160725","4288"
"2022-01-03T19:00:00Z","15418075.296581967","4283"
"2022-01-03T20:00:00Z","16260923.151485637","4288"
"2022-01-03T21:00:00Z","27818647.255175553","4287"
"2022-01-03T22:00:00Z","22703565.829184022","4291"
"2022-01-03T23:00:00Z","20550941.728562023","4291"
"2022-01-04T00:00:00Z","20253616.474565279","4287"
"2022-01-04T01:00:00Z","20633649.661289908","4287"
"2022-01-04T02:00:00Z","20926704.289719168","4288"
"2022-01-04T03:00:00Z","21326004.7385778","4290"
"2022-01-04T04:00:00Z","32623511.008712694","4286"
"2022-01-04T05:00:00Z","30408668.230205622","4283"
"2022-01-04T06:00:00Z","18055992.181355175","4283"
"2022-01-04T07:00:00Z","13519273.950138004","4286"
"2022-01-04T08:00:00Z","14712058.985416487","4296"
"2022-01-04T09:00:00Z","15762293.206855241","4305"
"2022-01-04T10:00:00Z","29691559.373039067","4308"
"2022-01-04T11:00:00Z","26180630.473745428","4318"
"2022-01-04T12:00:00Z","25022457.39511089","4300"
"2022-01-04T13:00:00Z","23565330.503580876","4306"
"2022-01-04T14:00:00Z","22654013.823299281","4308"
"2022-01-04T15:00:00Z","32007791.772807349","4264"
"2022-01-04T16:00:00Z","29244051.026961084","4265"
"2022-01-04T17:00:00Z","16464088.231813934","4265"
"2022-01-04T18:00:00Z","13301460.85869268","4273"
"2022-01-04T19:00:00Z","13093075.790332103","4282"
"2022-01-04T20:00:00Z","13133974.657451551","4278"
"2022-01-04T21:00:00Z","23538473.53448382","4279"
"2022-01-04T22:00:00Z","17952451.176542711","4283"
"2022-01-04T23:00:00Z","15281881.159815984","4287"
"2022-01-05T00:00:00Z","14433707.145825326","4286"
"2022-01-05T01:00:00Z","14423186.193587735","4284"
"2022-01-05T02:00:00Z","14576199.479054548","4283"
"2022-01-05T03:00:00Z","14795217.21062975","4283"
"2022-01-05T04:00:00Z","15458219.651655581","4286"
"2022-01-05T05:00:00Z","17733386.400160953","4286"
"2022-01-05T06:00:00Z","20745369.908963881","4286"
"2022-01-05T07:00:00Z","21626067.295768276","4288"
"2022-01-05T08:00:00Z","21074492.351917673","4301"
"2022-01-05T09:00:00Z","19737437.986352243","4299"
"2022-01-05T10:00:00Z","20842793.257736418","4301"
"2022-01-05T11:00:00Z","17488333.84560892","4310"
"2022-01-05T12:00:00Z","16934325.777072195","4312"
"2022-01-05T13:00:00Z","16271586.36115961","4318"
"2022-01-05T14:00:00Z","16416593.116046758","4319"
"2022-01-05T15:00:00Z","17188617.937397726","4322"
"2022-01-05T16:00:00Z","18942398.682952154","4321"
"2022-01-05T17:00:00Z","20210403.812362853","4323"
"2022-01-05T18:00:00Z","20071850.19720846","4323"
"2022-01-05T19:00:00Z","19161254.754015408","4321"
"2022-01-05T20:00:00Z","18188277.84802575","4323"
"2022-01-05T21:00:00Z","16303978.92105189","4322"
"2022-01-05T22:00:00Z","13851462.530829985","4323"
"2022-01-05T23:00:00Z","12034948.103773508","4323"
"2022-01-06T00:00:00Z","11374689.024701539","4325"
"2022-01-06T01:00:00Z","11270196.738993272","4323"
"2022-01-06T02:00:00Z","11433801.811401458","4325"
"2022-01-06T03:00:00Z","11823257.799778376","4326"
"2022-01-06T04:00:00Z","12644259.106396357","4325"
"2022-01-06T05:00:00Z","15116130.98175123","4326"
"2022-01-06T06:00:00Z","18496567.117054872","4329"
"2022-01-06T07:00:00Z","19745319.488098647","4329"
"2022-01-06T08:00:00Z","19186295.121242598","4364"
"2022-01-06T09:00:00Z","17872390.416084159","4369"
"2022-01-06T10:00:00Z","17364044.9961778","4378"
"2022-01-06T11:00:00Z","18363465.658915833","4382"
"2022-01-06T12:00:00Z","17623906.761169147","4386"
"2022-01-06T13:00:00Z","16911446.403169271","4393"
"2022-01-06T14:00:00Z","16800051.415110189","4391"
"2022-01-06T15:00:00Z","17317353.113351822","4399"
"2022-01-06T16:00:00Z","19495686.06778029","4398"
"2022-01-06T17:00:00Z","21130583.067161731","4400"
"2022-01-06T18:00:00Z","21064839.530519519","4398"
"2022-01-06T19:00:00Z","20543405.199773103","4402"
