"period_start_local","thermostats_consumption","nb_location_id"
"2022-01-01T00:00:00Z","4054313.5801788392","3842"
"2022-01-01T01:00:00Z","4519724.07679268","3885"
"2022-01-01T02:00:00Z","4774854.6607510047","3941"
"2022-01-01T03:00:00Z","5058994.0553838164","4002"
"2022-01-01T04:00:00Z","5463413.37378236","4075"
"2022-01-01T05:00:00Z","6633743.6393109178","4163"
"2022-01-01T06:00:00Z","8462823.59864488","4234"
"2022-01-01T07:00:00Z","9394984.5780389011","4287"
"2022-01-01T08:00:00Z","8862453.408495985","4305"
"2022-01-01T09:00:00Z","7831689.7900625374","4279"
"2022-01-01T10:00:00Z","7036901.8616192862","4264"
"2022-01-01T11:00:00Z","6492786.3671969008","4256"
"2022-01-01T12:00:00Z","6106401.282171201","4231"
"2022-01-01T13:00:00Z","5912513.4200429711","4195"
"2022-01-01T14:00:00Z","5925372.6874048784","4194"
"2022-01-01T15:00:00Z","6104074.007614716","4221"
"2022-01-01T16:00:00Z","6085601.7665951466","4229"
"2022-01-01T17:00:00Z","5785562.34552232","4217"
"2022-01-01T18:00:00Z","5459113.3337678136","4178"
"2022-01-01T19:00:00Z","5384506.4125523893","4185"
"2022-01-01T20:00:00Z","5409724.67867328","4150"
"2022-01-01T21:00:00Z","5206527.6053411867","4095"
"2022-01-01T22:00:00Z","4593453.6526336931","3912"
"2022-01-01T23:00:00Z","4034659.0849295282","3744"
"2022-01-02T00:00:00Z","4196163.0754619632","3812"
"2022-01-02T01:00:00Z","4905905.7670393828","3946"
"2022-01-02T02:00:00Z","5412052.0833168505","4041"
"2022-01-02T03:00:00Z","5924032.77775681","4111"
"2022-01-02T04:00:00Z","6681576.8331165873","4195"
"2022-01-02T05:00:00Z","8119485.1824277323","4265"
"2022-01-02T06:00:00Z","10331797.355559425","4304"
"2022-01-02T07:00:00Z","11652171.261525583","4361"
"2022-01-02T08:00:00Z","11438150.998993242","4374"
"2022-01-02T09:00:00Z","10542024.348684758","4373"
"2022-01-02T10:00:00Z","9864820.4129810352","4366"
"2022-01-02T11:00:00Z","9232485.9538296163","4352"
"2022-01-02T12:00:00Z","8631798.5986576248","4326"
"2022-01-02T13:00:00Z","8478516.9139534254","4317"
"2022-01-02T14:00:00Z","8508666.4800780211","4306"
"2022-01-02T15:00:00Z","8975560.6087687016","4327"
"2022-01-02T16:00:00Z","9284563.399888657","4346"
"2022-01-02T17:00:00Z","8861875.7698289957","4318"
"2022-01-02T18:00:00Z","8499139.64172247","4303"
"2022-01-02T19:00:00Z","8611456.2748762257","4295"
"2022-01-02T20:00:00Z","8841657.2085225675","4288"
