HQContractId,passerelle_id,locationId,address_id,postalCode,locationType
,AC000W008487551,,1672-K6S5V7,,
,AC000W008494167,,3810-T3C3X4,,
,AC000W008494662,,1906-H6T3P5,,
,AC000W008499087,,2637-Y4C6R3,,
,AC000W008499533,,3983-H3T0K3,,
,AC000W008502595,,2575-G3Q6B6,,
,AC000W008507464,,2605-L4G5Z5,,
,AC000W008509895,,1064-L5Q1V6,,
,AC000W008509954,,2165-X7L2L6,,
,AC000W008510491,,3528-V0W7M0,,
,AC000W008513081,,2609-V3J1B8,,
,AC000W008523211,,1831-H3G0D6,,
,AC000W008527065,,2882-W0B1B0,,
,AC000W008527139,,1063-D4K4B7,,
,AC000W008529445,,1303-Z2K5H3,,
,AC000W008534414,,1672-K6S5V7,,
,AC000W013295132,,3886-D9L3Q2,,
,AC000W013306619,,4027-W7S3J7,,
,AC000W013310271,,3531-S0Z7B8,,
,AC000W008521615,1684,2571-K2J3P4,J7V 8Z1,Maison en rangée
300513677,AC000W013313399,284,1822-B3D7M4,H2G2M9,Immeuble - moins de 5 logements
300554749,AC000W008534135,2255,3361-N4T7P4,H4G 1R4,Immeuble - moins de 5 logements
300633703,AC000W008515267,196,1337-C3C0B9,H2W 2J5,Maison en rangée
300635958,AC000W008500384,1239,2985-W0Z9W0,H3J 2T2,Maison détachée
300655200,AC000W008504243,1939,2200-M3C9J1,H2M 2L7,
300698346,AC000W008520795,2768,3581-N6R3L0,H2J 2Z9,Maison en rangée
300751342,AC000W008535056,2437,3532-S2H7X2,H2C 1W8,Maison en rangée
300829915,AC000W008504803,2748,3859-P9G5J5,H1Y 3B4,Maison détachée
300847483,AC000W013308891,843,1662-Y6Q7C8,H1Y 3J4,Maison en rangée
300847856,AC000W008526046,2020,2305-G3G4K0,H1H 4Z9,
300908718,AC000W013306413,191,1693-R5S2Y8,H1J 1Z8,Maison en rangée
300936897,AC000W008489800,2474,3546-G0B3M7,H9H 4A1,Maison en rangée
300955677,AC000W008522782,427,1887-N6Q9C1,H1K 4X4,Maison en rangée
300963773,AC000W008499126,2204,3379-Q7X4M9,H1V 2C6,Maison en rangée
301018556,AC000W013301770,2567,2997-K9V8R4,H1W 4A1,Maison en rangée
301066626,AC000W008513849,2511,1663-S7R3P7,H3E 1K6,
301077460,AC000W008530530,2378,3246-J0R4S3,H2J 3M7,Immeuble - moins de 5 logements
301095338,AC000W008529908,2746,3940-X2D9Z8,H1M 3J5,Immeuble - moins de 5 logements
301139416,AC000W008534283,1260,2702-R0J7Q0,H1T 3L6,Maison détachée
301162497,AC000W008495240,791,2002-S0B9R9,H1M 2X8,Maison détachée
