"passerelle_id","location_id","address_id","device_id","event_time","updated_by","context","tstat_daily_consumption","tstat_heat_demand","tstat_active_alerts","tstat_ambient_humidity","tstat_ambient_setpoint","tstat_ambient_temperature","tstat_floor_mode","tstat_floor_setpoint","tstat_floor_temperature","tstat_grap_outage_duration","tstat_grap_outage_start","tstat_model_number","tstat_name","tstat_uid","tstat_instant_power","tstat_version","tstat_zigbee_version","tstat_gd_state","tstat_grap_state","tstat_grap_undersized","tstat_lock_state"
"AC000W013302124","3209","4711-L7V6T0","312792","2022-01-03T00:00:05Z","HUB","unknown","13375","","","","","","","","","","","","","","","","","","","",""
"AC000W013302124","3209","4711-L7V6T0","312788","2022-01-03T00:00:22Z","HUB","unknown","3101","","","","","","","","","","","","","","","","","","","",""
"AC000W013302124","3209","4711-L7V6T0","312789","2022-01-03T00:00:22Z","HUB","unknown","6316","","","","","","","","","","","","","","","","","","","",""
"AC000W008491177","5721","6101-Y5N0J8","338414","2022-01-03T00:00:43Z","HUB","unknown","","","","","","17.5","","","","","","","","","","","","","","",""
"AC000W013302124","3209","4711-L7V6T0","312792","2022-01-03T00:01:06Z","HUB","unknown","13384","","","","","","","","","","","","","","","","","","","",""
"AC000W008491177","5721","6101-Y5N0J8","338412","2022-01-03T00:01:22Z","HUB","unknown","","","","","","21","","","","","","","","","","","","","","",""
"AC000W013302124","3209","4711-L7V6T0","312792","2022-01-03T00:02:06Z","HUB","unknown","13403","","","","","","","","","","","","","","","","","","","",""
"AC000W013302124","3209","4711-L7V6T0","312788","2022-01-03T00:02:52Z","HUB","unknown","3110","","","","","","","","","","","","","","","","","","","",""
"AC000W013302124","3209","4711-L7V6T0","312789","2022-01-03T00:03:07Z","HUB","unknown","6338","","","","","","","","","","","","","","","","","","","",""
"AC000W013302124","3209","4711-L7V6T0","312792","2022-01-03T00:03:07Z","HUB","unknown","13412","","","","","","","","","","","","","","","","","","","",""
"AC000W013302124","3209","4711-L7V6T0","312789","2022-01-03T00:03:21Z","HUB","unknown","","22","","","","","","","","","","","","","","","","","","",""
"AC000W013302124","3209","4711-L7V6T0","312792","2022-01-03T00:04:07Z","HUB","unknown","13422","","","","","","","","","","","","","","","","","","","",""
"AC000W013302124","3209","4711-L7V6T0","312792","2022-01-03T00:05:08Z","HUB","unknown","13440","","","","","","","","","","","","","","","","","","","",""
"AC000W013302124","3209","4711-L7V6T0","312788","2022-01-03T00:05:22Z","HUB","unknown","3119","","","","","","","","","","","","","","","","","","","",""
"AC000W013302124","3209","4711-L7V6T0","312789","2022-01-03T00:05:51Z","HUB","unknown","6359","","","","","","","","","","","","","","","","","","","",""
"AC000W013302124","3209","4711-L7V6T0","312792","2022-01-03T00:06:08Z","HUB","unknown","13450","","","","","","","","","","","","","","","","","","","",""
"AC000W013302124","3209","4711-L7V6T0","312792","2022-01-03T00:07:09Z","HUB","unknown","13459","","","","","","","","","","","","","","","","","","","",""
"AC000W013302124","3209","4711-L7V6T0","312788","2022-01-03T00:07:52Z","HUB","unknown","3129","","","","","","","","","","","","","","","","","","","",""
"AC000W013302124","3209","4711-L7V6T0","312792","2022-01-03T00:08:10Z","HUB","unknown","13478","","","","","","","","","","","","","","","","","","","",""
"AC000W013302124","3209","4711-L7V6T0","312789","2022-01-03T00:08:36Z","HUB","unknown","6380","","","","","","","","","","","","","","","","","","","",""
"AC000W013302124","3209","4711-L7V6T0","312792","2022-01-03T00:09:10Z","HUB","unknown","13487","","","","","","","","","","","","","","","","","","","",""
"AC000W013302124","3209","4711-L7V6T0","312792","2022-01-03T00:10:11Z","HUB","unknown","13506","","","","","","","","","","","","","","","","","","","",""
"AC000W013302124","3209","4711-L7V6T0","312788","2022-01-03T00:10:22Z","HUB","unknown","3138","","","","","","","","","","","","","","","","","","","",""
"AC000W013302124","3209","4711-L7V6T0","312792","2022-01-03T00:11:12Z","HUB","unknown","13515","","","","","","","","","","","","","","","","","","","",""
"AC000W013302124","3209","4711-L7V6T0","312789","2022-01-03T00:11:21Z","HUB","unknown","6402","","","","","","","","","","","","","","","","","","","",""
"AC000W008491177","5721","6101-Y5N0J8","338409","2022-01-03T00:11:57Z","HUB","unknown","","","","","","21.5","","","","","","","","","","","","","","",""
