,Global_active_power,hour
2006-12-16,152.024,17
2006-12-16,217.932,18
2006-12-16,204.014,19
2006-12-16,196.114,20
2006-12-16,183.388,21
2006-12-16,132.008,22
2006-12-16,123.696,23
2006-12-17,112.948,0
2006-12-17,200.964,1
2006-12-17,95.236,2
2006-12-17,99.732,3
2006-12-17,132.946,4
2006-12-17,119.804,5
2006-12-17,78.19800000000001,6
2006-12-17,97.202,7
2006-12-17,113.434,8
2006-12-17,152.944,9
2006-12-17,217.734,10
2006-12-17,148.26,11
2006-12-17,114.952,12
2006-12-17,99.646,13
2006-12-17,125.55799999999999,14
2006-12-17,179.124,15
2006-12-17,199.562,16
2006-12-17,204.406,17
2006-12-17,221.826,18
2006-12-17,174.504,19
2006-12-17,201.69,20
2006-12-17,182.446,21
2006-12-17,91.08,22
2006-12-17,26.264,23
2006-12-18,16.582,0
2006-12-18,18.798,1
2006-12-18,17.068,2
2006-12-18,18.596,3
2006-12-18,61.58,4
2006-12-18,17.61,5
2006-12-18,36.6,6
2006-12-18,147.026,7
2006-12-18,124.928,8
2006-12-18,97.76,9
2006-12-18,78.578,10
2006-12-18,93.716,11
2006-12-18,105.364,12
2006-12-18,100.924,13
2006-12-18,103.982,14
2006-12-18,107.05799999999999,15
2006-12-18,116.958,16
2006-12-18,129.294,17
2006-12-18,144.152,18
2006-12-18,156.87,19
2006-12-18,183.034,20
2006-12-18,130.184,21
2006-12-18,104.328,22
2006-12-18,92.836,23
2006-12-19,50.228,0
2006-12-19,21.182,1
2006-12-19,19.634,2
2006-12-19,18.498,3
2006-12-19,19.67,4
2006-12-19,18.4,5
2006-12-19,47.78,6
2006-12-19,107.138,7
2006-12-19,232.742,8
2006-12-19,97.066,9
2006-12-19,26.228,10
2006-12-19,139.298,11
2006-12-19,25.84,12
2006-12-19,18.028,13
2006-12-19,18.128,14
2006-12-19,25.282,15
2006-12-19,82.328,16
2006-12-19,126.69,17
2006-12-19,132.282,18
2006-12-19,110.526,19
2006-12-19,176.432,20
2006-12-19,86.572,21
2006-12-19,43.2,22
2006-12-19,23.022,23
2006-12-20,27.59,0
2006-12-20,15.52,1
2006-12-20,47.062,2
2006-12-20,18.602,3
2006-12-20,17.34,4
2006-12-20,15.762,5
2006-12-20,17.016,6
2006-12-20,91.598,7
2006-12-20,175.056,8
2006-12-20,83.13199999999999,9
2006-12-20,90.61800000000001,10
2006-12-20,173.544,11
2006-12-20,85.262,12
2006-12-20,85.704,13
2006-12-20,77.694,14
2006-12-20,16.868,15
2006-12-20,28.106,16
2006-12-20,34.410000000000004,17
2006-12-20,170.21,18
2006-12-20,194.918,19
2006-12-20,214.528,20
2006-12-20,218.764,21
2006-12-20,183.538,22
2006-12-20,142.906,23
2006-12-21,92.152,0
2006-12-21,83.878,1
2006-12-21,76.494,2
2006-12-21,18.156,3
2006-12-21,14.804,4
2006-12-21,17.442,5
2006-12-21,17.74,6
2006-12-21,76.828,7
2006-12-21,93.782,8
2006-12-21,154.548,9
2006-12-21,106.062,10
2006-12-21,31.502,11
2006-12-21,49.147999999999996,12
2006-12-21,101.294,13
2006-12-21,61.434000000000005,14
2006-12-21,18.444,15
2006-12-21,81.604,16
2006-12-21,105.158,17
2006-12-21,146.598,18
2006-12-21,131.828,19
2006-12-21,146.242,20
2006-12-21,58.936,21
2006-12-21,16.816,22
2006-12-21,16.226,23
2006-12-22,16.016,0
2006-12-22,16.32,1
2006-12-22,16.058,2
2006-12-22,16.432,3
2006-12-22,15.856,4
2006-12-22,48.410000000000004,5
2006-12-22,28.778,6
2006-12-22,103.392,7
2006-12-22,164.664,8
2006-12-22,113.778,9
2006-12-22,80.69800000000001,10
2006-12-22,75.154,11
2006-12-22,73.708,12
2006-12-22,40.314,13
2006-12-22,48.934,14
2006-12-22,87.098,15
2006-12-22,94.272,16
2006-12-22,89.80799999999999,17
2006-12-22,161.218,18
2006-12-22,236.29,19
2006-12-22,212.164,20
2006-12-22,272.92,21
2006-12-22,183.904,22
2006-12-22,145.152,23
2006-12-23,101.89399999999999,0
2006-12-23,103.368,1
2006-12-23,102.04599999999999,2
2006-12-23,106.292,3
2006-12-23,113.496,4
2006-12-23,133.746,5
2006-12-23,98.962,6
2006-12-23,241.402,7
2006-12-23,251.45,8
2006-12-23,194.784,9
2006-12-23,178.33,10
2006-12-23,189.54,11
2006-12-23,175.728,12
2006-12-23,204.378,13
2006-12-23,225.478,14
2006-12-23,242.946,15
2006-12-23,260.946,16
2006-12-23,327.152,17
2006-12-23,232.764,18
2006-12-23,247.07,19
2006-12-23,250.884,20
2006-12-23,197.306,21
2006-12-23,259.676,22
2006-12-23,333.748,23
2006-12-24,241.68,0
2006-12-24,196.542,1
2006-12-24,138.182,2
2006-12-24,96.406,3
2006-12-24,94.566,4
2006-12-24,97.914,5
2006-12-24,113.712,6
2006-12-24,88.584,7
2006-12-24,85.666,8
2006-12-24,163.54,9
2006-12-24,160.52,10
2006-12-24,125.576,11
2006-12-24,90.0,12
2006-12-24,194.39600000000002,13
2006-12-24,82.292,14
2006-12-24,185.81,15
2006-12-24,120.428,16
2006-12-24,101.19,17
2006-12-24,30.312,18
2006-12-24,27.242,19
2006-12-24,28.446,20
2006-12-24,29.041999999999998,21
2006-12-24,28.785999999999998,22
2006-12-24,29.18,23
2006-12-25,59.974000000000004,0
2006-12-25,72.40599999999999,1
2006-12-25,26.28,2
2006-12-25,35.398,3
2006-12-25,34.72,4
2006-12-25,37.206,5
2006-12-25,15.844,6
2006-12-25,40.608,7
2006-12-25,156.666,8
2006-12-25,89.608,9
2006-12-25,114.94,10
2006-12-25,182.676,11
2006-12-25,174.756,12
2006-12-25,133.496,13
2006-12-25,107.024,14
2006-12-25,104.42,15
2006-12-25,232.37,16
2006-12-25,124.308,17
2006-12-25,145.384,18
2006-12-25,97.77,19
2006-12-25,118.628,20
2006-12-25,230.212,21
2006-12-25,252.892,22
2006-12-25,155.534,23
2006-12-26,145.456,0
2006-12-26,144.15800000000002,1
2006-12-26,144.656,2
2006-12-26,146.944,3
2006-12-26,179.55,4
2006-12-26,143.264,5
2006-12-26,143.292,6
2006-12-26,188.16400000000002,7
2006-12-26,141.956,8
2006-12-26,212.704,9
2006-12-26,242.514,10
2006-12-26,142.412,11
2006-12-26,147.882,12
2006-12-26,173.208,13
2006-12-26,229.596,14
2006-12-26,157.776,15
2006-12-26,207.044,16
2006-12-26,200.54,17
2006-12-26,194.802,18
2006-12-26,182.04,19
2006-12-26,208.74,20
2006-12-26,159.504,21
2006-12-26,51.816,22
2006-12-26,46.092,23
2006-12-27,28.978,0
2006-12-27,29.608,1
2006-12-27,28.77,2
2006-12-27,26.648,3
2006-12-27,28.442,4
2006-12-27,62.192,5
2006-12-27,28.464,6
2006-12-27,122.992,7
2006-12-27,129.884,8
2006-12-27,139.738,9
2006-12-27,139.018,10
2006-12-27,78.936,11
2006-12-27,64.70400000000001,12
2006-12-27,15.85,13
2006-12-27,15.83,14
2006-12-27,19.992,15
2006-12-27,17.808,16
2006-12-27,30.076,17
2006-12-27,109.464,18
2006-12-27,104.176,19
2006-12-27,141.186,20
2006-12-27,79.784,21
2006-12-27,65.01,22
2006-12-27,21.21,23
2006-12-28,61.112,0
2006-12-28,16.664,1
2006-12-28,18.97,2
2006-12-28,17.928,3
2006-12-28,18.605999999999998,4
2006-12-28,17.364,5
2006-12-28,17.554,6
2006-12-28,62.6,7
2006-12-28,152.144,8
2006-12-28,79.292,9
2006-12-28,19.564,10
2006-12-28,16.796,11
2006-12-28,16.26,12
2006-12-28,41.918,13
2006-12-28,108.514,14
2006-12-28,94.46000000000001,15
2006-12-28,93.538,16
2006-12-28,145.952,17
2006-12-28,152.634,18
2006-12-28,170.91,19
2006-12-28,127.006,20
2006-12-28,302.12,21
2006-12-28,192.852,22
2006-12-28,127.88,23
2006-12-29,84.56,0
2006-12-29,119.65,1
2006-12-29,129.098,2
2006-12-29,147.16,3
2006-12-29,148.286,4
2006-12-29,143.166,5
2006-12-29,146.334,6
2006-12-29,230.326,7
2006-12-29,221.686,8
2006-12-29,206.094,9
2006-12-29,145.352,10
2006-12-29,83.35,11
2006-12-29,93.344,12
2006-12-29,102.56,13
2006-12-29,85.11,14
2006-12-29,37.686,15
2006-12-29,19.072,16
2006-12-29,53.544,17
2006-12-29,113.55799999999999,18
2006-12-29,107.48,19
2006-12-29,208.31,20
2006-12-29,258.824,21
2006-12-29,219.962,22
2006-12-29,69.88,23
2006-12-30,17.682,0
2006-12-30,18.918,1
2006-12-30,16.766,2
2006-12-30,18.346,3
2006-12-30,18.056,4
2006-12-30,16.67,5
2006-12-30,54.406,6
2006-12-30,15.394,7
2006-12-30,91.004,8
2006-12-30,194.146,9
2006-12-30,284.19,10
2006-12-30,233.152,11
2006-12-30,188.706,12
2006-12-30,137.578,13
2006-12-30,107.396,14
2006-12-30,146.972,15
2006-12-30,237.334,16
2006-12-30,154.87,17
2006-12-30,231.762,18
2006-12-30,225.182,19
2006-12-30,184.564,20
2006-12-30,122.28,21
2006-12-30,44.948,22
2006-12-30,42.612,23
2006-12-31,40.574,0
2006-12-31,42.97,1
2006-12-31,43.316,2
2006-12-31,46.714,3
2006-12-31,76.666,4
2006-12-31,63.046,5
2006-12-31,150.082,6
2006-12-31,201.87,7
2006-12-31,245.074,8
2006-12-31,163.392,9
2006-12-31,174.896,10
2006-12-31,201.57,11
2006-12-31,231.178,12
2006-12-31,216.154,13
2006-12-31,184.878,14
2006-12-31,149.296,15
2006-12-31,170.28,16
2006-12-31,165.016,17
2006-12-31,144.628,18
2006-12-31,146.056,19
2006-12-31,145.496,20
2006-12-31,146.618,21
2006-12-31,158.16,22
2006-12-31,186.266,23
2007-01-01,153.038,0
2007-01-01,151.404,1
2007-01-01,154.94,2
2007-01-01,152.5,3
2007-01-01,148.544,4
2007-01-01,148.574,5
2007-01-01,147.348,6
2007-01-01,146.832,7
2007-01-01,146.504,8
2007-01-01,188.768,9
2007-01-01,159.704,10
2007-01-01,154.56,11
2007-01-01,156.952,12
2007-01-01,129.744,13
2007-01-01,77.664,14
2007-01-01,114.55,15
2007-01-01,83.406,16
2007-01-01,97.924,17
2007-01-01,87.714,18
2007-01-01,43.938,19
2007-01-01,24.738,20
2007-01-01,26.036,21
2007-01-01,26.624,22
2007-01-01,26.998,23
2007-01-02,16.712,0
2007-01-02,19.15,1
2007-01-02,17.456,2
2007-01-02,17.766000000000002,3
2007-01-02,18.266000000000002,4
2007-01-02,40.284,5
2007-01-02,133.166,6
2007-01-02,183.496,7
2007-01-02,197.84,8
2007-01-02,123.248,9
2007-01-02,88.46000000000001,10
2007-01-02,82.316,11
2007-01-02,36.912,12
2007-01-02,17.884,13
2007-01-02,18.594,14
2007-01-02,17.88,15
2007-01-02,19.954,16
2007-01-02,48.324,17
2007-01-02,154.856,18
2007-01-02,178.516,19
2007-01-02,127.768,20
2007-01-02,93.246,21
2007-01-02,89.96,22
2007-01-02,82.706,23
2007-01-03,15.43,0
2007-01-03,18.484,1
2007-01-03,16.624,2
2007-01-03,17.196,3
2007-01-03,16.338,4
2007-01-03,70.14,5
2007-01-03,21.908,6
2007-01-03,15.79,7
